,Unnamed: 0,Rkr,Player,Age,Pos,Date,Tmr,Unnamed: 8,Opp,Unnamed: 10,PTS,GSr,MPr,FG,FGA,FG%,2Pr,2PA,2P%,3Pr,3PA,3P%,FTr,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PFr,GmSc,BPM
250,250,141,Paul George,31-053,F,2021-06-24*,LAC,,PHO,W,27,1,43,9,26,.346,6,15,.400,3,11,.273,6,7,.857,0,15,15,8,1,0,6,0,17.1,-0.4
251,251,142,Jeff Green,34-291,F,2021-06-15*,BRK,,MIL,W,27,0,35,8,11,.727,1,3,.333,7,8,.875,4,4,1.000,0,1,1,3,0,1,0,5,23.6,17.5
252,252,143,Jrue Holiday,31-021,G,2021-07-03*,MIL,@,ATL,W,27,1,42,11,23,.478,7,11,.636,4,12,.333,1,3,.333,1,8,9,9,4,2,6,5,21.3,5.1
253,253,144,Jrue Holiday,31-035,G,2021-07-17*,MIL,@,PHO,W,27,1,42,12,20,.600,9,14,.643,3,6,.500,0,0,,1,3,4,13,3,1,2,4,28.6,13.1
254,254,145,Kevin Huerter,22-297,G,2021-06-20*,ATL,@,PHI,W,27,1,40,10,18,.556,8,14,.571,2,4,.500,5,7,.714,1,6,7,3,1,0,1,4,20.6,7.8
255,255,146,Reggie Jackson,31-063,G,2021-06-18*,LAC,,UTA,W,27,1,38,10,16,.625,7,9,.778,3,7,.429,4,4,1.000,2,1,3,10,3,0,1,3,29.3,11.9
256,256,147,Khris Middleton,29-283,F-G,2021-05-22*,MIL,,MIA,W,27,1,45,10,22,.455,7,13,.538,3,9,.333,4,6,.667,1,5,6,6,2,0,2,3,20.0,7.9
257,257,148,Ja Morant,21-296,G,2021-06-02*,MEM,@,UTA,L,27,1,40,11,22,.500,6,13,.462,5,9,.556,0,0,,2,5,7,11,0,0,5,0,21.6,4.7
258,258,149,Chris Paul,36-036,G,2021-06-11*,PHO,@,DEN,W,27,1,37,9,16,.563,7,13,.538,2,3,.667,7,7,1.000,0,6,6,8,3,0,2,0,27.8,12.1
259,259,150,Trae Young,22-253,G,2021-05-30*,ATL,,NYK,W,27,1,33,9,21,.429,5,7,.714,4,14,.286,5,5,1.000,0,1,1,9,1,0,2,3,20.3,9.6
