,Unnamed: 0,Rkr,Player,Age,Pos,Date,Tmr,Unnamed: 8,Opp,Unnamed: 10,PTS,GSr,MPr,FG,FGA,FG%,2Pr,2PA,2P%,3Pr,3PA,3P%,FTr,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PFr,GmSc,BPM
370,370,257,Paul George,31-059,F,2021-06-30*,LAC,,PHO,L,21,1,41,6,15,.400,5,9,.556,1,6,.167,8,9,.889,1,8,9,2,0,0,4,1,12.6,-7.3
371,371,258,Rudy Gobert,28-334,C,2021-05-26*,UTA,,MEM,W,21,1,36,9,11,.818,9,11,.818,0,0,,3,8,.375,4,9,13,3,0,4,1,4,22.7,7.9
372,372,259,Rui Hachimura,23-114,F,2021-06-02*,WAS,@,PHI,L,21,1,43,8,13,.615,7,10,.700,1,3,.333,4,5,.800,1,5,6,2,0,0,0,3,17.1,1.9
373,373,260,Tim Hardaway,29-067,G,2021-05-22*,DAL,@,LAC,W,21,1,32,8,13,.615,3,4,.750,5,9,.556,0,0,,2,2,4,1,0,0,3,2,14.0,5.4
374,374,Rk,Player,Age,Pos,Date*,Tm,,Opp,,PTS,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,GmSc,BPM
375,375,261,James Harden,31-269,G,2021-05-22*,BRK,,BOS,W,21,1,36,5,13,.385,3,5,.600,2,8,.250,9,10,.900,0,9,9,8,4,1,3,2,22.7,15.8
376,376,262,Tobias Harris,28-320,F,2021-05-31*,PHI,@,WAS,L,21,1,37,8,24,.333,7,19,.368,1,5,.200,4,4,1.000,1,12,13,5,0,1,2,4,12.3,-3.1
377,377,263,Jrue Holiday,31-005,G,2021-06-17*,MIL,,BRK,W,21,1,43,8,21,.381,7,11,.636,1,10,.100,4,4,1.000,3,5,8,5,4,0,1,3,18.4,5.1
378,378,264,Jrue Holiday,31-029,G,2021-07-11*,MIL,,PHO,W,21,1,40,8,14,.571,3,4,.750,5,10,.500,0,0,,0,5,5,9,1,1,3,0,20.9,10.1
379,379,265,Jaren Jackson,21-258,F,2021-05-31*,MEM,,UTA,L,21,1,26,9,18,.500,6,8,.750,3,10,.300,0,0,,2,4,6,1,1,0,0,4,14.7,4.2
380,380,266,LeBron James,36-148,F-G,2021-05-27*,LAL,,PHO,W,21,1,38,9,19,.474,8,14,.571,1,5,.200,2,3,.667,1,5,6,9,1,0,7,0,13.4,2.8
381,381,267,Kawhi Leonard,29-346,F,2021-06-10*,LAC,@,UTA,L,21,1,39,8,17,.471,6,13,.462,2,4,.500,3,4,.750,2,2,4,5,2,0,3,4,14.8,2.3
382,382,268,CJ McCollum,29-252,G,2021-05-29*,POR,,DEN,W,21,1,35,9,19,.474,7,13,.538,2,6,.333,1,1,1.000,0,4,4,8,0,0,2,2,15.3,1.2
383,383,269,CJ McCollum,29-247,G,2021-05-24*,POR,@,DEN,L,21,1,38,9,12,.750,7,9,.778,2,3,.667,1,2,.500,0,6,6,2,0,0,5,5,12.0,-3.1
384,384,270,CJ McCollum,29-245,G,2021-05-22*,POR,@,DEN,W,21,1,36,8,20,.400,5,13,.385,3,7,.429,2,2,1.000,0,6,6,3,0,1,0,2,14.0,-1.7
385,385,271,CJ McCollum,29-257,G,2021-06-03*,POR,,DEN,L,21,1,38,9,21,.429,7,13,.538,2,8,.250,1,2,.500,1,3,4,3,0,1,1,5,10.9,-7.9
386,386,272,Donovan Mitchell,24-282,G,2021-06-16*,UTA,,LAC,L,21,1,38,6,19,.316,2,5,.400,4,14,.286,5,6,.833,0,5,5,5,1,0,2,1,13.3,-0.3
387,387,273,Monte Morris,25-349,G,2021-06-11*,DEN,,PHO,L,21,0,30,8,12,.667,5,7,.714,3,5,.600,2,3,.667,0,0,0,5,0,1,0,1,19.2,15.3
388,388,274,Royce O'Neale,28-013,F,2021-06-18*,UTA,@,LAC,L,21,1,42,8,12,.667,4,6,.667,4,6,.667,1,1,1.000,4,6,10,1,0,0,1,2,19.3,6.6
389,389,275,Chris Paul,36-072,G,2021-07-17*,PHO,,MIL,L,21,1,35,9,15,.600,6,12,.500,3,3,1.000,0,0,,0,2,2,11,0,1,1,5,20.1,5.9
390,390,276,Chris Paul,36-032,G,2021-06-07*,PHO,,DEN,W,21,1,36,8,14,.571,6,11,.545,2,3,.667,3,3,1.000,1,5,6,11,1,0,1,2,23.5,9.1
391,391,277,Cam Reddish,21-305,F,2021-07-03*,ATL,,MIL,L,21,0,29,7,12,.583,1,5,.200,6,7,.857,1,2,.500,1,2,3,3,1,0,1,2,17.6,14.9
392,392,278,Austin Rivers,28-299,G,2021-05-27*,DEN,@,POR,W,21,1,37,7,14,.500,2,4,.500,5,10,.500,2,2,1.000,0,4,4,2,0,1,0,3,16.1,4.5
393,393,279,Lou Williams,34-245,G,2021-06-29*,ATL,,MIL,W,21,1,35,7,9,.778,5,6,.833,2,3,.667,5,6,.833,1,4,5,8,1,0,1,2,23.8,14.5
394,394,280,Trae Young,22-251,G,2021-05-28*,ATL,,NYK,W,21,1,37,8,19,.421,6,13,.462,2,6,.333,3,4,.750,0,1,1,14,0,0,2,2,17.8,3.7
395,395,Rk,Player,Age,Pos,Date*,Tm,,Opp,,PTS,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,GmSc,BPM
396,396,281,Trae Young,22-274,G,2021-06-20*,ATL,@,PHI,W,21,1,43,5,23,.217,3,12,.250,2,11,.182,9,11,.818,0,3,3,10,0,0,6,4,6.4,-8.1
397,397,282,Trae Young,22-262,G,2021-06-08*,ATL,@,PHI,L,21,1,38,6,16,.375,5,9,.556,1,7,.143,8,9,.889,1,2,3,11,1,0,4,1,17.4,3.7
398,398,283,Bam Adebayo,23-315,C-F,2021-05-29*,MIA,,MIL,L,20,1,35,10,17,.588,10,17,.588,0,0,,0,0,,7,7,14,4,1,1,4,3,18.4,3.4
399,399,284,Giannis Antetokounmpo,26-212,F-G,2021-07-06*,MIL,@,PHO,L,20,1,35,6,11,.545,5,9,.556,1,2,.500,7,12,.583,2,15,17,4,2,1,3,5,19.1,6.7
400,400,285,Giannis Antetokounmpo,26-174,F-G,2021-05-29*,MIL,@,MIA,W,20,1,36,8,18,.444,8,14,.571,0,4,.000,4,6,.667,0,12,12,15,0,2,2,4,21.7,13.2
401,401,286,Deandre Ayton,22-319,C,2021-06-07*,PHO,,DEN,W,20,1,36,9,13,.692,9,13,.692,0,0,,2,2,1.000,3,7,10,0,1,0,1,1,18.3,1.1
402,402,287,Deandre Ayton,22-332,C,2021-06-20*,PHO,,LAC,W,20,1,37,10,14,.714,10,14,.714,0,0,,0,0,,3,6,9,2,0,0,1,1,18.1,0.3
403,403,288,Deandre Ayton,22-359,C,2021-07-17*,PHO,,MIL,L,20,1,45,7,12,.583,7,12,.583,0,0,,6,6,1.000,3,7,10,1,1,2,2,4,18.1,-2.3
404,404,289,Bogdan Bogdanović,28-319,G,2021-07-03*,ATL,,MIL,L,20,1,37,7,12,.583,5,7,.714,2,5,.400,4,5,.800,0,2,2,3,3,0,3,3,15.5,4.2
405,405,290,Bogdan Bogdanović,28-315,G,2021-06-29*,ATL,,MIL,W,20,1,33,7,19,.368,1,5,.200,6,14,.429,0,0,,1,2,3,5,4,0,2,4,14.7,7.4
406,406,291,Devin Booker,24-235,G,2021-06-22*,PHO,,LAC,W,20,1,41,5,16,.313,4,13,.308,1,3,.333,9,9,1.000,0,4,4,5,0,0,8,5,5.5,-11.7
407,407,292,Mike Conley,33-227,G,2021-05-26*,UTA,,MEM,W,20,1,37,8,16,.500,5,11,.455,3,5,.600,1,1,1.000,2,2,4,15,0,0,2,4,20.9,5.8
408,408,293,Paul George,31-028,F,2021-05-30*,LAC,@,DAL,W,20,1,35,6,16,.375,3,10,.300,3,6,.500,5,6,.833,0,9,9,3,0,0,3,3,11.4,-0.3
409,409,294,Paul George,31-033,F,2021-06-04*,LAC,@,DAL,W,20,1,46,6,15,.400,4,8,.500,2,7,.286,6,10,.600,2,11,13,6,0,3,5,2,15.5,2.3
410,410,295,Paul George,31-037,F,2021-06-08*,LAC,@,UTA,L,20,1,37,4,17,.235,1,9,.111,3,8,.375,9,10,.900,0,10,10,2,0,0,2,2,10.9,-4.4
411,411,296,Rui Hachimura,23-112,F,2021-05-31*,WAS,,PHI,W,20,1,42,8,12,.667,5,6,.833,3,6,.500,1,2,.500,1,12,13,2,1,1,1,4,19.2,5.3
412,412,297,Tim Hardaway,29-078,G,2021-06-02*,DAL,@,LAC,W,20,1,45,6,19,.316,3,9,.333,3,10,.300,5,5,1.000,1,6,7,2,1,0,0,1,13.6,-0.4
413,413,298,James Harden,31-272,G,2021-05-25*,BRK,,BOS,W,20,1,27,6,12,.500,2,4,.500,4,8,.500,4,4,1.000,2,3,5,7,1,0,2,3,19.0,10.8
414,414,299,Tobias Harris,28-334,F,2021-06-14*,PHI,@,ATL,L,20,1,39,8,15,.533,6,12,.500,2,3,.667,2,2,1.000,0,5,5,2,0,1,1,1,14.9,3.8
415,415,300,Tobias Harris,28-326,F,2021-06-06*,PHI,,ATL,L,20,1,36,8,13,.615,7,9,.778,1,4,.250,3,4,.750,2,8,10,3,3,0,3,0,19.6,4.9
416,416,301,Tobias Harris,28-334,F,2021-06-14*,PHI,@,ATL,L,20,1,39,8,15,.533,6,12,.500,2,3,.667,2,2,1.000,0,5,5,2,0,1,1,1,14.9,3.8
417,417,302,Jrue Holiday,30-344,G,2021-05-22*,MIL,,MIA,W,20,1,42,9,18,.500,9,13,.692,0,5,.000,2,4,.500,2,9,11,3,3,0,5,0,14.4,1.8
418,418,303,Kevin Huerter,22-285,G,2021-06-08*,ATL,@,PHI,L,20,0,36,8,10,.800,5,5,1.000,3,5,.600,1,1,1.000,0,2,2,2,0,2,4,2,14.8,7.8
419,419,304,Reggie Jackson,31-047,G,2021-06-02*,LAC,,DAL,L,20,1,29,7,16,.438,1,4,.250,6,12,.500,0,0,,1,1,2,3,0,0,1,3,12.5,5.6
420,420,305,Reggie Jackson,31-071,G,2021-06-26*,LAC,,PHO,L,20,1,40,8,24,.333,6,15,.400,2,9,.222,2,2,1.000,0,5,5,1,1,0,4,1,5.2,-1.9
421,421,306,Kawhi Leonard,29-338,F,2021-06-02*,LAC,,DAL,L,20,1,42,7,19,.368,6,12,.500,1,7,.143,5,6,.833,1,4,5,5,1,2,5,2,11.1,-4.1
422,422,307,Khris Middleton,29-290,F-G,2021-05-29*,MIL,@,MIA,W,20,1,37,7,16,.438,5,10,.500,2,6,.333,4,4,1.000,2,9,11,3,0,0,3,3,13.6,-2.0
423,423,308,Michael Porter,22-349,F,2021-06-13*,DEN,,PHO,L,20,1,36,7,16,.438,4,8,.500,3,8,.375,3,4,.750,1,3,4,0,3,1,0,2,15.7,3.6
424,424,309,Kristaps Porziņģis,25-296,F-C,2021-05-25*,DAL,@,LAC,W,20,1,32,8,12,.667,5,8,.625,3,4,.750,1,2,.500,0,4,4,0,3,2,0,4,18.4,7.2
425,425,310,Dennis Schröder,27-261,G,2021-06-03*,LAL,,PHO,L,20,1,38,6,14,.429,4,8,.500,2,6,.333,6,6,1.000,0,3,3,3,1,0,1,2,14.8,1.4
426,426,311,Dennis Schröder,27-254,G,2021-05-27*,LAL,,PHO,W,20,1,33,6,11,.545,5,7,.714,1,4,.250,7,8,.875,1,2,3,4,2,0,3,1,17.0,9.0
427,427,312,Deandre Ayton,22-338,C,2021-06-26*,PHO,@,LAC,W,19,1,41,8,14,.571,8,14,.571,0,0,,3,3,1.000,9,13,22,3,1,4,3,4,23.9,13.1
428,428,313,Bogdan Bogdanović,28-297,G,2021-06-11*,ATL,,PHI,L,19,1,39,7,13,.538,5,8,.625,2,5,.400,3,4,.750,1,3,4,1,1,0,4,3,10.4,-2.0
429,429,314,Devin Booker,24-263,G,2021-07-20*,PHO,@,MIL,L,19,1,46,8,22,.364,8,15,.533,0,7,.000,3,3,1.000,0,3,3,5,0,0,6,4,3.6,-9.0
430,430,315,Devin Booker,24-209,G,2021-05-27*,PHO,@,LAL,L,19,1,41,6,19,.316,5,15,.333,1,4,.250,6,7,.857,1,3,4,6,0,0,4,6,7.1,-7.1
431,431,316,Jimmy Butler,31-255,F-G,2021-05-27*,MIA,,MIL,L,19,1,38,7,17,.412,5,13,.385,2,4,.500,3,4,.750,0,8,8,6,1,0,2,3,13.9,1.9
432,432,317,Kentavious Caldwell-Pope,28-105,G,2021-06-03*,LAL,,PHO,L,19,1,39,7,11,.636,4,5,.800,3,6,.500,2,2,1.000,1,2,3,0,0,0,1,4,12.8,0.5
433,433,318,John Collins,23-281,F,2021-07-01*,ATL,@,MIL,L,19,1,34,7,16,.438,4,11,.364,3,5,.600,2,2,1.000,3,5,8,3,0,0,0,3,15.1,1.5
434,434,319,John Collins,23-266,F,2021-06-16*,ATL,@,PHI,W,19,1,36,7,12,.583,4,8,.500,3,4,.750,2,4,.500,2,9,11,1,0,2,1,1,17.4,8.6
435,435,320,Robert Covington,30-169,F-C,2021-06-01*,POR,@,DEN,L,19,1,44,5,10,.500,2,4,.500,3,6,.500,6,6,1.000,3,8,11,0,2,0,0,6,18.1,4.1
436,436,Rk,Player,Age,Pos,Date*,Tm,,Opp,,PTS,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,GmSc,BPM
437,437,321,Jae Crowder,30-359,F,2021-06-30*,PHO,@,LAC,W,19,1,33,6,11,.545,1,2,.500,5,9,.556,2,2,1.000,0,5,5,1,0,0,0,4,14.3,5.9
438,438,322,Dewayne Dedmon,31-285,C,2021-05-24*,MIA,@,MIL,L,19,0,21,8,11,.727,7,9,.778,1,2,.500,2,2,1.000,4,5,9,2,0,0,2,4,16.6,10.3
439,439,323,Luka Dončić,22-091,G-F,2021-05-30*,DAL,,LAC,L,19,1,36,9,24,.375,8,17,.471,1,7,.143,0,5,.000,0,6,6,6,1,0,4,1,6.4,0.5
440,440,324,Danilo Gallinari,32-327,F,2021-07-01*,ATL,@,MIL,L,19,0,23,5,11,.455,3,7,.429,2,4,.500,7,7,1.000,0,3,3,1,0,0,1,2,13.1,2.8
441,441,325,Joe Harris,29-272,G,2021-06-05*,BRK,,MIL,W,19,1,34,7,11,.636,2,2,1.000,5,9,.556,0,0,,0,2,2,2,1,0,1,0,16.1,8.4
442,442,326,Tobias Harris,28-315,F,2021-05-26*,PHI,,WAS,W,19,1,23,9,13,.692,8,10,.800,1,3,.333,0,0,,0,9,9,1,1,0,1,2,16.1,6.1
443,443,327,Jrue Holiday,31-003,G,2021-06-15*,MIL,@,BRK,L,19,1,34,7,16,.438,4,9,.444,3,7,.429,2,2,1.000,0,3,3,8,1,0,3,3,13.9,2.6
444,444,328,Jrue Holiday,31-017,G,2021-06-29*,MIL,@,ATL,L,19,1,38,6,17,.353,4,10,.400,2,7,.286,5,6,.833,2,3,5,9,0,0,4,2,12.9,0.2
445,445,329,Jrue Holiday,30-349,G,2021-05-27*,MIL,@,MIA,W,19,1,34,7,10,.700,5,6,.833,2,4,.500,3,4,.750,0,3,3,12,0,0,2,2,20.9,14.5
446,446,330,Joe Ingles,33-255,F-G,2021-06-14*,UTA,@,LAC,L,19,1,27,7,9,.778,2,2,1.000,5,7,.714,0,0,,0,3,3,3,1,0,0,4,17.9,18.0
447,447,331,Joe Ingles,33-251,F-G,2021-06-10*,UTA,,LAC,W,19,1,33,7,10,.700,3,3,1.000,4,7,.571,1,2,.500,0,4,4,4,1,0,2,2,16.6,10.0
448,448,332,Joe Ingles,33-253,F-G,2021-06-12*,UTA,@,LAC,L,19,1,28,6,11,.545,1,3,.333,5,8,.625,2,2,1.000,0,4,4,2,1,0,0,0,17.3,12.6
449,449,333,Reggie Jackson,31-067,G,2021-06-22*,LAC,@,PHO,L,19,1,39,7,15,.467,4,8,.500,3,7,.429,2,2,1.000,0,5,5,3,2,1,2,0,15.6,5.8
450,450,334,Brook Lopez,33-065,C,2021-06-05*,MIL,@,BRK,L,19,1,28,8,11,.727,8,10,.800,0,1,.000,3,3,1.000,5,0,5,1,0,0,1,2,16.9,7.9
451,451,335,Brook Lopez,33-079,C,2021-06-19*,MIL,@,BRK,W,19,1,46,7,11,.636,4,7,.571,3,4,.750,2,2,1.000,5,3,8,1,1,4,0,1,22.6,10.2
452,452,336,Khris Middleton,29-305,F-G,2021-06-13*,MIL,,BRK,W,19,1,41,7,15,.467,4,7,.571,3,8,.375,2,3,.667,0,4,4,8,2,2,3,3,16.9,5.4
453,453,337,Monte Morris,25-351,G,2021-06-13*,DEN,,PHO,L,19,1,35,8,15,.533,6,11,.545,2,4,.500,1,3,.333,0,0,0,6,0,0,1,2,13.3,1.2
454,454,338,Chris Paul,36-066,G,2021-07-11*,PHO,@,MIL,L,19,1,34,8,14,.571,7,10,.700,1,4,.250,2,3,.667,0,0,0,9,1,0,4,2,14.5,3.5
455,455,339,Cameron Payne,26-290,G,2021-05-25*,PHO,,LAL,L,19,0,33,6,15,.400,3,8,.375,3,7,.429,4,4,1.000,0,3,3,7,1,2,2,6,14.7,7.2
456,456,340,Ben Simmons,24-317,G-F,2021-06-02*,PHI,,WAS,W,19,1,39,7,11,.636,7,11,.636,0,0,,5,8,.625,2,8,10,11,1,2,4,4,21.2,5.9
457,457,Rk,Player,Age,Pos,Date*,Tm,,Opp,,PTS,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,GmSc,BPM
458,458,341,Marcus Smart,27-080,G,2021-05-25*,BOS,@,BRK,L,19,1,32,6,13,.462,1,5,.200,5,8,.625,2,4,.500,1,2,3,6,2,0,1,2,17.2,9.1
459,459,342,Tristan Thompson,30-076,F-C,2021-05-28*,BOS,,BRK,W,19,1,30,8,13,.615,8,13,.615,0,0,,3,4,.750,9,4,13,1,0,0,2,2,18.1,1.1
460,460,343,Russell Westbrook,32-200,G,2021-05-31*,WAS,,PHI,W,19,1,42,3,19,.158,3,15,.200,0,4,.000,13,16,.813,6,15,21,14,2,0,4,5,20.2,0.4
461,461,344,Giannis Antetokounmpo,26-183,F-G,2021-06-07*,MIL,@,BRK,L,18,1,31,8,15,.533,8,12,.667,0,3,.000,2,7,.286,1,10,11,4,0,1,3,2,12.1,2.0
462,462,345,Carmelo Anthony,36-358,F,2021-05-22*,POR,@,DEN,W,18,0,22,6,12,.500,2,4,.500,4,8,.500,2,2,1.000,0,3,3,1,1,0,0,1,14.2,11.1
463,463,346,Deandre Ayton,22-336,C,2021-06-24*,PHO,@,LAC,L,18,1,36,9,13,.692,9,13,.692,0,0,,0,1,.000,4,5,9,0,1,2,0,2,18.0,5.9
464,464,347,Deandre Ayton,22-353,C,2021-07-11*,PHO,@,MIL,L,18,1,24,8,11,.727,8,11,.727,0,0,,2,2,1.000,2,7,9,0,2,0,2,5,15.0,6.7
465,465,348,Bogdan Bogdanović,28-281,G,2021-05-26*,ATL,@,NYK,L,18,1,35,8,21,.381,6,8,.750,2,13,.154,0,0,,1,5,6,3,0,2,0,2,11.4,2.5
466,466,349,Bogdan Bogdanović,28-278,G,2021-05-23*,ATL,@,NYK,W,18,1,34,7,15,.467,3,6,.500,4,9,.444,0,0,,1,3,4,2,2,0,1,4,12.7,3.6
467,467,350,Bojan Bogdanović,32-038,G-F,2021-05-26*,UTA,,MEM,W,18,1,30,7,13,.538,6,8,.750,1,5,.200,3,4,.750,0,3,3,1,1,0,3,3,9.7,-5.4
468,468,351,Bojan Bogdanović,32-051,G-F,2021-06-08*,UTA,,LAC,W,18,1,38,6,14,.429,3,8,.375,3,6,.500,3,3,1.000,0,5,5,1,1,0,0,2,13.0,2.4
469,469,352,Bojan Bogdanović,32-057,G-F,2021-06-14*,UTA,@,LAC,L,18,1,39,6,12,.500,4,7,.571,2,5,.400,4,5,.800,0,3,3,5,2,0,1,5,15.0,5.0
470,470,353,Devin Booker,24-222,G,2021-06-09*,PHO,,DEN,W,18,1,33,6,14,.429,3,7,.429,3,7,.429,3,3,1.000,0,10,10,2,1,0,2,1,13.6,1.7
471,471,354,Jordan Clarkson,29-001,G,2021-06-08*,UTA,,LAC,W,18,0,28,6,18,.333,0,4,.000,6,14,.429,0,0,,0,2,2,1,1,0,0,0,10.1,4.6
472,472,355,Jae Crowder,30-332,F,2021-06-03*,PHO,@,LAL,W,18,1,37,6,9,.667,0,0,,6,9,.667,0,0,,1,7,8,0,1,2,1,3,17.1,10.3
473,473,356,Jae Crowder,31-005,F,2021-07-11*,PHO,@,MIL,L,18,1,33,6,7,.857,0,0,,6,7,.857,0,0,,0,6,6,1,0,1,0,3,17.5,15.9
474,474,357,Goran Dragić,35-018,G,2021-05-24*,MIA,@,MIL,L,18,0,24,5,11,.455,4,6,.667,1,5,.200,7,8,.875,0,2,2,4,0,0,0,0,15.3,7.5
475,475,358,Dorian Finney-Smith,28-033,F,2021-06-06*,DAL,@,LAC,L,18,1,39,7,13,.538,3,6,.500,4,7,.571,0,1,.000,6,4,10,2,0,0,4,5,12.1,0.0
476,476,359,Dorian Finney-Smith,28-018,F,2021-05-22*,DAL,@,LAC,W,18,1,37,7,9,.778,3,4,.750,4,5,.800,0,0,,0,5,5,2,1,0,2,5,14.4,8.2
477,477,360,Evan Fournier,28-215,G-F,2021-06-01*,BOS,@,BRK,L,18,1,36,8,17,.471,7,12,.583,1,5,.200,1,2,.500,2,4,6,1,0,0,1,5,9.2,-7.1
478,478,Rk,Player,Age,Pos,Date*,Tm,,Opp,,PTS,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,GmSc,BPM
479,479,361,Danilo Gallinari,32-323,F,2021-06-27*,ATL,,MIL,L,18,0,36,7,14,.500,5,11,.455,2,3,.667,2,2,1.000,1,3,4,0,2,0,3,2,10.8,-2.5
480,480,362,Aaron Gordon,25-264,F,2021-06-07*,DEN,@,PHO,L,18,1,29,8,14,.571,8,11,.727,0,3,.000,2,2,1.000,3,1,4,2,3,0,1,1,16.8,4.6
481,481,363,Blake Griffin,32-081,F,2021-06-05*,BRK,,MIL,W,18,1,35,7,13,.538,3,4,.750,4,9,.444,0,0,,2,12,14,3,2,0,3,6,15.4,4.8
482,482,364,De'Andre Hunter,23-175,F,2021-05-26*,ATL,@,NYK,L,18,1,32,3,10,.300,0,2,.000,3,8,.375,9,11,.818,0,6,6,0,0,0,1,4,10.6,0.7
483,483,365,LeBron James,36-144,F-G,2021-05-23*,LAL,@,PHO,L,18,1,36,6,13,.462,3,6,.500,3,7,.429,3,6,.500,1,6,7,10,3,0,5,1,17.2,12.0
484,484,366,Luke Kennard,24-349,G,2021-06-08*,LAC,@,UTA,L,18,0,29,7,9,.778,3,3,1.000,4,6,.667,0,0,,1,1,2,0,0,0,0,1,15.1,10.9
485,485,367,Brook Lopez,33-051,C,2021-05-22*,MIL,,MIA,W,18,1,36,5,10,.500,4,6,.667,1,4,.250,7,8,.875,3,5,8,0,1,0,1,5,14.2,3.6
486,486,368,CJ McCollum,29-255,G,2021-06-01*,POR,@,DEN,L,18,1,51,7,22,.318,5,14,.357,2,8,.250,2,2,1.000,1,6,7,7,1,2,3,6,9.8,-6.3
487,487,369,Khris Middleton,29-333,F-G,2021-07-11*,MIL,,PHO,W,18,1,41,6,14,.429,3,7,.429,3,7,.429,3,3,1.000,1,6,7,6,1,0,2,3,15.1,1.8
488,488,370,Kendrick Nunn,25-299,G,2021-05-29*,MIA,,MIL,L,18,0,28,7,15,.467,5,9,.556,2,6,.333,2,2,1.000,0,1,1,1,1,0,0,1,11.9,2.5
489,489,371,Chris Paul,36-051,G,2021-06-26*,PHO,@,LAC,W,18,1,38,6,22,.273,6,19,.316,0,3,.000,6,7,.857,0,4,4,7,1,0,4,4,6.1,-2.2
490,490,372,Chris Paul,36-024,G,2021-05-30*,PHO,@,LAL,W,18,1,32,7,15,.467,7,12,.583,0,3,.000,4,4,1.000,1,2,3,9,3,0,0,1,20.5,12.7
491,491,373,Michael Porter,22-329,F,2021-05-24*,DEN,,POR,W,18,1,33,5,13,.385,2,7,.286,3,6,.500,5,5,1.000,2,2,4,1,2,0,1,3,13.4,-0.3
492,492,374,Kristaps Porziņģis,25-301,F-C,2021-05-30*,DAL,,LAC,L,18,1,28,7,12,.583,7,10,.700,0,2,.000,4,5,.800,1,4,5,0,0,1,0,2,13.8,8.5
493,493,375,Norman Powell,28-002,G,2021-05-27*,POR,,DEN,L,18,1,36,8,14,.571,6,8,.750,2,6,.333,0,0,,0,4,4,2,1,2,2,3,13.2,2.1
494,494,376,Austin Rivers,28-304,G,2021-06-01*,DEN,,POR,W,18,1,47,5,10,.500,1,2,.500,4,8,.500,4,4,1.000,0,1,1,7,0,0,1,5,15.2,1.4
495,495,377,Derrick Rose,32-238,G,2021-05-30*,NYK,@,ATL,L,18,1,33,7,15,.467,5,11,.455,2,4,.500,2,2,1.000,0,2,2,6,0,0,0,1,14.7,3.3
496,496,378,Ben Simmons,24-326,G-F,2021-06-11*,PHI,@,ATL,W,18,1,34,7,11,.636,7,11,.636,0,0,,4,8,.500,2,2,4,7,1,0,3,5,14.4,0.1
497,497,379,Jonas Valančiūnas,29-027,C,2021-06-02*,MEM,@,UTA,L,18,1,27,8,13,.615,6,9,.667,2,4,.500,0,0,,2,4,6,1,2,0,4,4,11.8,-0.4
498,498,380,Jonas Valančiūnas,29-020,C,2021-05-26*,MEM,@,UTA,L,18,1,30,7,12,.583,7,11,.636,0,1,.000,4,4,1.000,3,3,6,3,0,1,2,4,14.6,0.2
499,499,Rk,Player,Age,Pos,Date*,Tm,,Opp,,PTS,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,GmSc,BPM
500,500,381,Bam Adebayo,23-313,C-F,2021-05-27*,MIA,,MIL,L,17,1,32,7,14,.500,7,14,.500,0,0,,3,3,1.000,3,5,8,4,1,1,2,2,15.3,5.9
501,501,382,Grayson Allen,25-233,G,2021-05-29*,MEM,,UTA,L,17,0,30,6,11,.545,1,3,.333,5,8,.625,0,0,,1,2,3,0,1,0,1,4,11.4,4.5
502,502,383,Giannis Antetokounmpo,26-172,F-G,2021-05-27*,MIL,@,MIA,W,17,1,33,6,12,.500,6,10,.600,0,2,.000,5,7,.714,2,15,17,5,1,0,3,3,16.4,6.9
503,503,384,Carmelo Anthony,36-363,F,2021-05-27*,POR,,DEN,L,17,0,26,5,12,.417,1,4,.250,4,8,.500,3,4,.750,1,1,2,0,1,0,1,2,10.4,2.2
504,504,385,RJ Barrett,20-353,G-F,2021-06-02*,NYK,,ATL,L,17,1,40,5,14,.357,3,8,.375,2,6,.333,5,6,.833,1,6,7,5,0,1,1,3,13.3,3.9
505,505,386,Nicolas Batum,32-180,F-G,2021-06-12*,LAC,,UTA,W,17,1,35,6,9,.667,2,3,.667,4,6,.667,1,2,.500,1,6,7,2,1,0,1,1,16.2,9.4
506,506,387,Bojan Bogdanović,32-045,G-F,2021-06-02*,UTA,,MEM,W,17,1,31,6,14,.429,3,8,.375,3,6,.500,2,2,1.000,1,7,8,4,2,0,3,0,14.2,2.8
507,507,388,Devin Booker,24-212,G,2021-05-30*,PHO,@,LAL,W,17,1,39,5,14,.357,4,9,.444,1,5,.200,6,7,.857,2,5,7,5,1,0,5,3,10.0,-4.3
